BJD - 2454833,Corrected Flux
2749.610542,0.99928713
2749.630974,0.999231633
2749.651406,0.999291878
2749.671838,0.999237669
2749.69227,0.999152271
2749.712702,0.999493296
2749.733134,0.999153183
2749.753566,0.999181735
2749.773998,0.998970498
2749.79443,0.99912753
2749.814862,0.99921903
2749.835294,0.999302442
2749.855726,0.999272593
2749.876158,0.999278951
2749.917022,1.000121757
2749.937454,1.000088497
2749.957886,0.999654588
2749.978318,0.999710881
2749.99875,0.999476779
2750.019182,0.999702515
2750.039614,0.999591895
2750.060046,0.999505275
2750.080478,1.000162135
2750.10091,0.999640979
2750.121342,0.999546595
2750.141774,0.999393969
2750.162205,0.999592419
2750.182637,0.999421618
2750.20307,0.999424263
2750.223501,0.999149344
2750.243933,0.999255411
2750.264365,0.999222505
2750.284797,0.99898288
2750.305229,0.999192581
2750.325661,0.999022078
2750.346093,0.998855436
2750.366525,0.99881599
2750.386957,0.998656478
2750.407389,0.998689989
2750.427821,0.998544519
2750.448253,0.998313284
2750.468685,0.998269353
2750.489117,0.998415761
2750.509549,0.998418083
2750.529981,0.998471748
2750.550413,0.998380646
2750.570845,0.998395724
2750.591277,0.99791479
2750.611709,0.997530658
2750.652573,0.998569387
2750.673005,0.998418841
2750.693437,0.998215169
2750.713869,0.998351007
2750.734301,0.998160373
2750.754732,0.99832193
2750.775164,0.998093718
2750.795596,0.998019878
2750.816028,0.997900797
2750.83646,0.997584692
2750.856892,0.997522756
2750.877324,0.997545951
2750.897756,0.997555968
2750.918188,0.99738799
2750.93862,0.997578793
2750.959052,0.997615246
2750.979484,0.997724273
2750.999916,0.997824387
2751.020348,0.997931442
2751.04078,0.99786297
2751.061212,0.997929439
2751.081644,0.997905989
2751.102076,0.997783658
2751.14294,0.998570712
2751.163372,0.998690699
2751.183804,0.998588214
2751.204236,0.998545679
2751.224668,0.998730495
2751.245099,0.998817081
2751.265531,0.998520261
2751.285963,0.998774584
2751.306395,0.998803328
2751.326827,0.999297754
2751.347259,0.998826124
2751.367691,0.998847237
2751.388123,0.999104284
2751.408555,0.999261915
2751.428987,0.999157254
2751.449419,0.999067417
2751.469851,0.999196051
2751.490283,0.998922256
2751.510715,0.998803233
2751.531147,0.998890045
2751.551579,0.998939813
2751.572011,0.99898137
2751.592443,0.99914092
2751.612875,0.999159694
